,rst_name,user_name,review_text,u_rst_tag,ate_menus,date,platform
24,모츠커피,이름이별명,예쁘고 맛있는 에스프레소 바입니다 너무 좋은집이예용!!!,데이트 기념일 간식 예쁜,에스프레소 메뉴,2022년 2월 13일,1
25,모츠커피,페르소나,에스프레소 먹으러 방문했는데 민트크림라떼인 멘타도 맛있네요,차모임 혼카페 데이트 캐주얼한 예쁜 깔끔한,코르타도 멘타,2021년 12월 2일,1
0,하이디라오 건대점,찌구리다,"한달전부터 미리 예약해서갔고, 직원분들 너무 친절해요! 음식 빠진거 없는지 하나하나 다 체크해주시고 옷 냄새날까봐 하나하나 다 챙겨주는데 친절 그 자체,, 새우완자 무조건 시키세요ㅠㅠ 진짜 맛도리... 빵사이에 새우완자 넣고 먹었더니 진짜 맛도리,, 탕은 토마토탕이 제일 맛있었어요!! 고기는 탕에 들어가면 다 비슷비슷해서 제일 싼거 시켜도될꺼같아요! 웨이팅 지옥이지만 정말 자주 가고싶은 훠궈맛집이네요 ㅎㅎ 다음에 또 가고싶어요! 건희소스 검색해서 가세요! 진짜 맛도리!!! 7명이며 39만원 나왔는데 정말 배터지게 먹고왔답니다! 굿굿 :)",저녁식사 식사모임 숨은맛집 푸짐한 시끌벅적한 깔끔한 이국적/이색적 대기석 셀프바,청유마라훠궈(오리지널) 토마토탕훠궈 후추탕훠궈 꽃빵튀김(4개) 새우완자 (100g),1월 22일,1
1,하이디라오 건대점,먹깨비요정zzing,"가장 사랑하는 샤브샤브훠궈맛집♡♡ 이대로 시켜보시고 사람늘어나면 양이나 사리를 추가해보세용 참고로 강남,명동점이 소스가 좀더 맛있긴한듯 명동점이 청양고추가 있어서 좋음  2인기준 87000원정도 딱좋음 비싸지만 너무맛있어서 또옴 《10번째 온 찐팬추천》 1.탕2개는 무조건 버섯탕/삼계탕은 필수 2개이상 2.우삼겹.야채모둠.숙주.수타면 인당1인분씩 필수!! 3.비엔나.연유빵.닭똥집 한번시켜보세요 저희는 늘 시킴 4.칠리2.5마늘1파1고추1 요렇게 필수! +버섯.고기소스등 반스푼씩 +고수반스푼추천  국물 둘다 한개씩 드셔보세요 식으면 붓고 다시 고기야채같이드시고 가끔 소세지나닭똥 중간중간 국물한입 소스는 땅콩.참기름은 ㄴㄴ 후식으로 연유빵 완벽♡♡  비싼거빼고 흠이없다 맛있고 다양하고 친절함",저녁식사 식사모임 가족외식 캐주얼한 깔끔한,"버섯탕 훠궈 삼계탕훠궈 우삼겹 닭똥집 비엔나소세지 연유빵 숙주,야채모둠",1월 3일,1
2,하이디라오 건대점,matziplist,하이디라오 처음 가보는데 꽤나 괜찮군 아쉬운건 매운걸 못먹었다는 점 가격은 역시나 어마무시;-; 둘이가서 9.5 찍고 한번쯤은 더 갈 것 같긴함,저녁식사 푸짐한 시끌벅적한,토마토탕훠궈 삼계탕훠궈 새우완자 (100g),1월 3일,1
3,하이디라오 건대점,elmo,하이디라오 하면 맛도 맛있지만 서비스도 너무 좋은거 같아요 테이블마다 담당 서버가 있어서 친절하게 챙겨주세요  백탕은 처음 먹어봤는데 깔끔하고 좋았어요 마지막에 칼국수면 넣어 드시는거 추천합니다! 홍탕은 꽤 얼얼해서 마라 좋아하시는 분들은 분명 좋아하실 맛이에요,저녁식사 식사모임 회식 시끌벅적한,"탄탄면 (1인분) 네가지맛(마라,삼선,버섯.토마토)",2023년 4월 26일,1
4,하이디라오 건대점,봉구아줌마,가족외식으로 찾은곳.엄청 친절해서 놀랐다.우유마라탕 추천.나머지 토마토탕이랑 후추하얀탕은 맛은 있는데 숟가락이 잘 안간다.비싼편,저녁식사 가족외식 시끌벅적한 이국적/이색적 무료주차,토마토탕훠궈 후추탕훠궈 우유마라훠궈 새우완자 (100g),2023년 11월 21일,1
5,하이디라오 건대점,파도,유명한 훠궈 맛집 ! 처음 방문해 봤는데 일단 서비스가 너무너무 좋음.. 대기할때 매실차 가져다주시고 주문할때도 엄청 친절하게 설명해주고 지나가다 계속 필요한거 챙겨주시고 ㅎㅎ 홍탕이랑 백탕 시켰는데 홍탕 맵기랑 얼얼함을 보통으로 시켰는데도 꽤 매웠음 참고하시길..! 진짜 훠궈 본연의 맛을 느끼고 싶다 하면 추천합니다 ~,점심식사 저녁식사 식사모임 술모임 깔끔한,훠궈,2021년 8월 23일,1
6,하이디라오 건대점,미농뷘,중식스타일 훠궈를 파는 체인점이예요. 전세계로 진출해서 이제는 한국에도 대여섯곳이 있는데요. 어느 지점을 가나 하이디라오 특유의 친절한 서비스에 감동받을 수 있어요. 이번엔 혼자 방문했는데 앞에 곰돌이 인형을 앉혀준다고 해서 괜찮다고 사양했어요. 하이디라오에 수많은 탕 종류가 있지만 제일 맛있는 탕은 토마토탕이라고 생각해요.,실버푸드 점심식사 저녁식사 식사모임 혼밥 데이트 가족외식 깔끔한 이국적/이색적 무료주차,점심셋트,2021년 3월 3일,1
7,하이디라오 건대점,조이,"깔끔하고 깨끗한 훠궈 전문점. 일행끼리 즐길 수 있도록 약간의 칸막이가 있어서 다른 일행과 프라이버시가 약간 보호되는 형태의 테이블 구조를 가지고 있어요. 전반적으로 깨끗하고 깔끔한 편입니다.  간단하게 세트메뉴를 시켜서 마라베이스와 홍탕 등을 주문하고 소고기, 야채 등을 곁들였습니다. 훠궈에 익숙하지 않으시거나 무엇을 주문해야 할지 어려우신 분들은 세트메뉴 시키셔도 좋아요. 소스바와 샐러드바가 준비되어 있는데, 샐러드바는 진짜 너무 소소하네요.. 전반적으로 고기 퀄리티는 괜찮았고 야채도 싱싱한 편이었어요. 마라베이스 탕은 생각보다 많이 매콤합니다. 홍탕과 백탕이 기본이니 참고하세요.  • 종업원 분이 메뉴판을 가지고 오셔서 아주 친절하게 설명해주시는 부분이 인상적이네요. 앞치마도 미리 준비해서 갖다주시고, 여러모로 서비스가 참 좋다고 느꼈습니다.",점심식사 저녁식사 식사모임 데이트 가족외식 친구들끼리 깔끔한 무료주차,세트메뉴,2020년 4월 10일,1
8,하이디라오 건대점,미도개,"두가지 맛 팟(마라,버섯) 주문해 재료 단품으로 시켜가며 식사했습니다. 세트 메뉴로 시켜도 되긴 하지만 통신사 할인(skt나 u+)20%가 단품 주문 시에만 적용된다고 해서 단품으로 했어요. 일단 직원분들이 너무 친절하시고 식당 분위기도 전체적으로 고급스러워서 기분 좋게 식사할 수 있었습니다. 야채도 신선했고 고기는 비교적 저렴한 걸로 시켰는데도 질이 아주 좋았어요. 훠궈 맛을 잘 아는 건 아니지만 제가 먹기엔 홍탕이 엄청 향기롭고 맛있었어요. 중간 맛으로 시켰는데 꽤 매웠습니다.(매운 거 잘 먹는 편이에요.) 소스 바에 소스를 제외한 과일이나 죽 류는 좀 허접하긴 합니다. 가격은 비싸지만 할인 적용하니 괜찮았어요. 할인 안 됐으면 많이 비싸다고 느꼈을 것 같네요. 할인 잘 알아보셔서 꼭 적용하세요!",저녁식사 식사모임 데이트 가족외식 고급스러운 격식있는 깔끔한 무료주차,두가지맛 토핑단품,2020년 3월 3일,1
9,하이디라오 건대점,파이닝,요즘 핫한 훠궈집 하이디라오 건대점이에요. 알다시피 중국식 샤브샤브이고요 정성본 샤브샤브 상위버젼이라고 보시면 됩니다. 탕의 종류는 여러가지가 있는데요 개인적으로는 토마토탕과 마라를 추천드려요. 다른 맛은 너무 특이하거나 너무 평범하더라구요. 주차는 세시간 무료이고 네일아트도 무료로 받을수 있어요. 그러나 미리 예약을 하셔야 할거에요.,점심식사 저녁식사 식사모임 데이트 기념일 가족외식 고급스러운 격식있는 무료주차,기본세트,2019년 11월 4일,1
10,하이디라오 건대점,밍돌,"서비스 진짜 너무 좋아요 완전 그냥 고기 넣어서 먹는것만 우리가 하면 되고 나머지는 오다가다 하나부터 열까지 다 해주세요 정말 ㅠㅠㅠㅠ 저 훠궈 첨 먹어봤는데 솔직히 맛은 그냥 그랬고요.. 가격은 배부르게 먹으려면 진짜 너무 비싸요 흑흑 그래도 서비스가 진짜 최고라 기분 좋게 나와서 별 세개 드립니다 ,, 저어엉말 돈이 많은데 대접받는 느낌 받고 싶을때 갈 것 같아요 ,,",저녁식사 식사모임 기념일 접대 고급스러운 이국적/이색적,마라탕 삼선탕 버섯탕 토마토탕,2018년 4월 30일,1
11,하이디라오 건대점,Vienna,"It’s really tasty! The service is quite good! Smile 😃 and help you a lot~~ Meat is high quality and the vegetables are fresh! A little bit expensive~ When u wait, they are doing free nail service for you^^* U can DIY ur source by self-bar. They also provide fruit, 새우죽, 호바죽 and salad~~ They use I-pad to order~~cool^^ 😊 definitely revisit!",점심식사 저녁식사 회식 가족외식 이국적/이색적,소고기 해물세트 마라탕 버섯탕 버섯세트 야채 생맥주 목이버섯,2018년 1월 24일,1
12,하이디라오 건대점,룰루,오랜만에 마라가 먹고 싶어 간곳. 몇년전 명동점을 갔을 때 맛있고 직원분들이 친절했던 기억이 있었습니다. 여전히 너무나 친절하시고 음식 또한 맛있네요. 둘이서 셋트메뉴 시킨 후 추가로 이것저것 시켜먹었는데 남김없이 더 먹었습니다. 추천해요!,저녁식사 깔끔한 이국적/이색적 무료주차,청우마라훠궈 삼성탕훠궈,2021년 7월 31일,1
13,하이디라오 건대점,고독한 혼밥러,"프랜차이즈의 장점은 깔끔하고 친절하다는 거죠~ 주변에 훠궈집이 정말정말 많지만, 개인적으로 깔끔한 곳에서 분위기내고 싶을 때 하이디라오만한 곳이 없는거 같아요^^  깔끔한 백탕과 알싸한 마라탕을 먹다보면 어느순간 배가 빵빵해지는~",저녁식사 식사모임 술모임 회식 데이트 가족외식 푸짐한 조용한 시끌벅적한 깔끔한 이국적/이색적 무료주차,훠궈,2019년 8월 16일,1
14,하이디라오 건대점,윤슬,지인들과 함께 갔는데 일단 서비스가 너무 좋았어요. 물잔이 비려고 하면 어떻게 아셨는지 바로 오셔서 채워주시고 도움 요청하면 모두 친절하게 받아주시고^^ 음식 맛도 너무 좋았어요 훠궈는 역시 하이디라오인듯요.,저녁식사 식사모임 술모임 시끌벅적한 깔끔한 이국적/이색적,소고기 세트 양고기 세트 삼겹살 세트,2021년 5월 3일,1
15,하이디라오 건대점,배고프다,테이블 당 서버가 붙어 케어해줌 비싸고 맛있음 재방문 의사 있음,데이트 가족외식 숨은맛집,훠궈,2023년 3월 12일,1
16,하이디라오 건대점,남사추,직원분들이 정말 친절합니다. 탕은 토마토탕과 버섯탕이 진짜진짜 맛있습니다. 한사람당 2만5천~3만원정도 나오는듯요.,식사모임 푸짐한,토마토탕,2022년 2월 18일,1
17,하이디라오 건대점,오잉,매일매일 가고싶은데 그러기엔 좀 비싸요 ㅠㅠ 고기도 정말 부드럽고 신선한 느낌이 나고 재료들도 퀄리티 좋아요,식사모임 데이트 기념일 가족외식 고급스러운 깔끔한 이국적/이색적,마라훠궈 버섯탕,2021년 4월 2일,1
18,하이디라오 건대점,뀨쀼뀨,훠궈는 사랑이에요 증말..예약까지해서 뿌신 하이디라오..가격대가 있긴하지만ㅠ너무 맛있었답니다:),저녁식사 식사모임 고급스러운,훠궈,2022년 7월 30일,1
19,하이디라오 건대점,SUNBIN,가격이 비싸긴했지만 맛있었고 재료들도 신선해서 좋았습니다 사람이 많아서 예약하는걸 추천해요,저녁식사 캐주얼한 시끌벅적한,홍탕 백탕 모듬야채 푸주 버섯,2022년 8월 28일,1
20,하이디라오 건대점,임마리,옥수수탕 반신반의 했는데 매우 만족!!! 가격이 비싸지만 확실히 만족스러운 맛과 서비스,아이동반 점심식사 저녁식사 식사모임 술모임 회식 데이트 기념일 가족외식 서민적인 캐주얼한 푸짐한 시끌벅적한 깔끔한 이국적/이색적,마라탕 토마토탕 옥수수탕,2020년 1월 7일,1
21,하이디라오 건대점,석봉이,대체불가 ㅜ 비싸서 그렇지 맛은 독보적이라 생각 이 지점은 수타면 ㅂㄹ였음,점심식사 저녁식사 이국적/이색적,훠궈세트 2인,2021년 6월 25일,1
22,하이디라오 건대점,바닐라 라테,현지 하이디라오와 같은 컨셉이라 정말 이국적입니다. 백탕도 맛있어요.,저녁식사 식사모임 가족외식 고급스러운 격식있는 시끌벅적한 이국적/이색적,홍탕백탕 분모자 버섯 우설 훠궈,2021년 12월 16일,1
23,하이디라오 건대점,슈슈,훠궈는 역시 하이디라오 홍탕 백탕 둘다 맛있고 직원들도 너무 친절해요,점심식사,훠궈,2021년 10월 5일,1
24,하이디라오 건대점,yechives,홍탕 백탕만 먹다가 요새 토마토탕 매력을 알아서 ㅋㅋㅋ 너무 맛있어요,점심식사 저녁식사 식사모임 술모임 회식 데이트 가족외식 푸짐한 시끌벅적한 이국적/이색적,소고기 양고기 토마토탕 홍탕 새우완자,2020년 11월 1일,1
25,하이디라오 건대점,이름이별명,하이디라오는 나의 최애 음식점 중에 하나. 돈을 버는 이유.,저녁식사 시끌벅적한 발렛주차 대형룸,마라훠궈 버섯탕,2021년 4월 3일,1
26,하이디라오 건대점,토끼,비싸긴 한데 그 만큼 맛있고 친절해요! 재방문 의사 있어요,아침식사 점심식사 저녁식사 식사모임 시끌벅적한 이국적/이색적,훠궈,2022년 5월 27일,1
27,하이디라오 건대점,감자고구맘,음식도 맛있고 깔끔합니다 무엇보다 직원분들 엄청 친절해요,저녁식사 식사모임 회식 데이트 가족외식 고급스러운 시끌벅적한 예쁜 깔끔한 이국적/이색적 개별룸,홍탕 말린두부 넓적당면 탄탄면,2018년 10월 30일,1
28,하이디라오 건대점,용용스,가격대는 저렴하진않지만 음식이 맛있고 무엇보다 서비스가 친절해서 좋았다,저녁식사 식사모임 술모임 시끌벅적한 무료주차,훠궈,2022년 3월 13일,1
29,하이디라오 건대점,우건군,,점심식사 깔끔한 무료주차,마라삼선 소고기,2021년 7월 13일,1
0,우마이도 건대점,봉구아줌마,아래층 식당왔다가 줄이 없길래 우연히 방문.단일메뉴만 판다.이런집이 진짜 찐맛집이지.돈코츠라멘 메운맛을 시켰다.음...맛있다.오사카 이츠라라멘에서는 돼지 누린내가 확 났었는데 거기보다 나은듯.면발도 가늘아서 괜찮다.,저녁식사 숨은맛집 조용한 주차불가,돈코츠 라멘 매운맛 생맥주 교자,2시간 전,1
1,우마이도 건대점,앙냥냥,국물이 맛있어요 근데 먹다보면 살짝 물리는 맛이라 맥주 필수,점심식사 저녁식사 식사모임 혼밥 숨은맛집 서민적인 가성비좋은 조용한 지역주민이찾는,돈코츠 라멘 오리지날 돈코츠 라멘 시로마루,2023년 11월 24일,1
2,우마이도 건대점,mogu,"일본라멘이 먹고싶어 방문했어요. 건대 우마이도 워낙 유명해서 꼭 가보고 싶었던 곳입니다. 키오스크로 주문하고, 좌석은 생각보다 많지 않아서 식사시간 맞춰가면 약간 웨이팅할 수 있을 것 같아요.",저녁식사 깔끔한,라멘,2022년 12월 28일,1
3,우마이도 건대점,욤뇸뇸,"건대역에서 조금 떨어져있는 하카타 라멘집 (찾아보니 부산, 울산에 지점이 있다) 키오스크 주문이다  맛있는데 요즘은 라멘집이 정말 많아서 이 정도의 맛은 평범하게 느껴진다 계란 반쪽이 아닌 한 개가 통으로 올라가있어서 좋았다 만두, 계란, 차슈는 따로 추가했는데 만두는 고향만두 맛이 났고(응?) 차슈는 따로 돈내고 추가했는데 얇은 듯 하다  사리 추가는 무료는 아니다(천원) 양이 많지는 않게 느껴져서 라멘만 먹으면 부족할 수도 있을거같다  주방에서 일하시는 분들이 마스크를 썼다 벗었다 하시던데 요즘같은 시기에는 쭉 쓰고 계시는게 좋을 것 같고 아쉬운 부분이 개선된다면 좋을 것 같다",점심식사 저녁식사 식사모임 회식 데이트 캐주얼한 지역주민이찾는,오리지날,2021년 11월 28일,1
4,우마이도 건대점,Jisoo Kim,"일요일 점심으로 일본식 라멘을 먹기위해 찾아간 곳... 첨 간곳이라 어리버리한데, 네비까지 위치한 골목보다 하나 위쪽을 알려줘서 차 세워두고 15분은 주변을 찾아 헤맸네요... 건대 큰길 쪽 정말 조그만 골목에 작은 간판은 잘 보이지도 않을만큼 음식점들과 상가을이 따닥따닥 붙어있는 곳 구석에 위치한 곳이라 찾기가 넘 힘들었음... 건대 근처에서 걸어 다니다 보면 몰라도... 차 가지고 가서 초행길이라면 찾기 함든곳입니다..  그렇게 고생하니 정말 맛없었으면 화가 머리 끝까지 날 뻔한 곳이었지만...  헐!!! 이런 곳이!!!  일본식 라멘을 그닥 즐기지 않는 저인데... 넘 맛있게 먹었습니다... 교자도 만두피가 너무 얇지도 뚜겁지도 않게..딱 적당하게 얇아서 쫄깃하게 빚어내 소량 들어있는 교자 속과 벨런스를 너무 잘 맞춰냈구요...  라멘은 혹시 몰라 매운맛을 시켰는데... 그냥 돈코츠를 먹어도 얼마든지 맛있고 느끼하지 않을 맛이었습니다... 느끼하지도 않고 그렇다고 칼칼하지만 절대 부드러운 국물맛이 일품이었습니다... 라멘의 면발 역시 호불호가 생길 수 없게끔 딱! 알맞게 익혀서 조리해 국물과 숙주와 면의 맛이 모두 혀끝에서 느낄 수 있도록 해줍니다...  정말 인정!!!!",점심식사 저녁식사 식사모임 혼밥 데이트 캐주얼한 가성비좋은 푸짐한 조용한 깔끔한 이국적/이색적 주차불가,돈코츠라멘(매운맛) 교자,2021년 1월 17일,1
5,우마이도 건대점,rimrim,"“깊은 국물맛이 일품인 라멘집” 라멘이 먹고 싶어 찾아간 집, 크지 않은 가게 임에도 라멘 국물에 기품이 들어있는 맛집이다. 차슈덮밥은 사실 좀 아쉬운 맛이다. 매운맛은 칼칼하고 오리지널은 고기육수로 진한 풍미가 식욕을 자극한다. 숙주가 조금 덜 있는게 아쉬웠지만, 요청시에 따로 더 주시는 듯 싶었다. 재방문 의사 당연히 있다!",점심식사 저녁식사 혼밥 데이트 숨은맛집 서민적인 캐주얼한 깔끔한,돈코츠라멘 오리지날 돈코츠라멘 매운맛 미니차슈덮밥,2020년 5월 17일,1
6,우마이도 건대점,티라미수,일본 라멘 전문점입니다.  자리는 모두 입식입니다.  라멘 맛있었어요. 원래 라멘이 짠 걸 보정해 간이 적당했습니다. 전체적으로 균형 잡힌 라멘이었습니다.  저는 양이 적당했으나 적은 사람도 있을 것 같네요.  가게가 크지 않아 웨이팅이 있을 수 있을 것 같습니다. 저는 웨이팅 없이 바로 먹었습니다.  주문방법은 들어와서 키오스크에서 주문 합니다. 주문하면 주문표가 나오고 주문표를 직원에게 주는 식으로 주문을 합니다.,점심식사 저녁식사 혼밥 이국적/이색적,라멘,2020년 4월 24일,1
7,우마이도 건대점,Jeff,돈코츠라멘 오리지날. 일본 음식 같습니다. bgm마저 일본 대중음악. 좋다면 좋은. 하지만 특별한 맛으론 느끼질 못했어요. 돼지육수 진하고. 면발은 가늘어요. 양이 적은 편이어서 동석하신 분은 공기밥 추가했어요. 양 많으신 분은 미니차슈덮밥 같이 드셔야 할 듯. 식사전에 큰 주전자에 시원한 엽차를 주는데 이게 맘에 들더군요. 자꾸 따라 먹게됨.  교자는 메뉴에서 빠졌다고 하니 참고하세요.,점심식사 캐주얼한 깔끔한,돈코츠라멘,2019년 9월 30일,1
