,name,category,sub_category,address,contact,platform
0,장미술상 건대점,2,"['술집', '곱창전골']",서울특별시 광진구 화양동 9-84,0507-1474-1611,1
0,시멘트서울,2,"['술집', '포차']",서울특별시 광진구 화양동 132-6,010-2728-1952,1
0,포비 본점,2,"['오코노미야끼', '야키소바']",서울특별시 광진구 화양동 33-56,0507-1421-8556,1
0,W주점,2,"['맥주', '호프']",서울특별시 광진구 화양동 5-67,010-9803-1619,1
0,육성회비,2,"['육회', '육사시미']",서울특별시 광진구 화양동 37-93,0507-1426-5256,1
0,제주올레포차 본점 숨비소리,2,"['고등어회', '포차']",서울특별시 광진구 화양동 112-16,0507-1459-9223,1
0,아일랜드유끼펍,2,"['칵테일', '펍']",서울 광진구 화양동 47-68,02-498-5285,1
0,설맥 건대점,2,['맥주'],서울특별시 광진구 화양동 11-1,0507-1479-8839,1
0,짱구야학교가자 건대점,2,"['국물닭발', '포차']",서울 광진구 화양동 9-9,02-461-7708,1
0,심마니,2,"['막걸리', '동동주']",서울특별시 광진구 화양동 11-18,02-469-1113,1
0,엘루이 비스트로,2,"['칵테일', '칵테일바']",서울특별시 광진구 화양동 8-4,0507-1471-8817,1
0,서울230,2,"['펍', '하이볼']",서울특별시 광진구 화양동 2-30,010-9931-9045,1
0,하노이맥주밤거리 건대점,2,"['맥주', '하이볼']",서울특별시 광진구 화양동 8-26,0507-1336-0022,1
0,하루,2,"['이자카야', '사시미']",서울특별시 광진구 화양동 47-67,0507-1307-4060,1
0,타스 더안주셀렉트샵,2,"['술집', '하이볼']",서울특별시 광진구 화양동 495-19 2층,0507-1402-3360,1
0,일양전,2,"['이자카야', '이소베마끼']",서울특별시 광진구 화양동 8-58 2층 일양전,0507-1327-2679,1
0,폼프리츠,2,"['맥주', '감자튀김']",서울특별시 광진구 화양동 114-5,,1
0,육회한연어,2,"['육회', '연어']",서울특별시 광진구 화양동 49-13,02-497-9211,1
0,972Bar,2,"['칵테일', '무제한칵테일']",서울특별시 광진구 화양동 9-72,0507-1496-9393,1
0,몽블랙,2,"['칵테일', '물담배']",서울특별시 광진구 화양동 9-76 3층,02-461-4019,1
0,호호 닭발,2,"['닭발', '포차']",서울시 광진구 화양동 8-58,02-465-3455,1
0,평정원,2,"['술집', '한식주점']",서울특별시 광진구 화양동 8-2,0507-1484-0305,1
0,노랑통닭 건대점,2,"['치킨', '마늘치킨']",서울특별시 광진구 화양동 9-48,0507-1447-2416,1
0,오늘와인한잔 건대점,2,['와인바'],서울특별시 광진구 화양동 8-8,0507-1469-5547,1
0,꼼주,2,"['꼼장어', '닭발']",서울특별시 광진구 화양동 9-50,0507-1403-1675,1
0,공간식당,2,"['이자카야', '술집']",서울특별시 광진구 화양동 8-42,0507-1435-8774,1
0,이자카야 안녕,2,"['이자카야', '밀푀유나베']",서울시 광진구 화양동 8-3 2층,0507-1496-0374,1
0,화양주막,2,"['막걸리', '곱도리탕']",서울특별시 광진구 화양동 47-79,02-3409-7337,1
0,밤을 걷는 선비,2,"['닭발', '술집']",서울특별시 광진구 화양동 44-18,0507-1419-7292,1
0,부엉이산장 건대점,2,['요리주점'],서울특별시 광진구 화양동 5-64,0507-1385-4481,1
0,쟈즈,2,"['위스키', '하몽']",서울특별시 광진구 화양동 2-44,02-498-6934,1
0,코렌초하우스,2,['와인바'],서울특별시 광진구 화양동 8-43 지하1층,0507-1309-8268,1
0,아웃닭,2,"['치킨', '치맥']",서울특별시 광진구 화양동 46-55,02-467-9978,1
0,막이오름 건대점,2,"['막걸리', '김치전']",서울특별시 광진구 화양동 47-83,0507-1326-0425,1
0,뉴웨이브서울,2,"['파스타', '와인']",서울특별시 광진구 화양동 5-56,0507-1317-0558,1
0,재즈라운지,2,"['와인바', '재즈바']",서울특별시 광진구 화양동 111-25,0507-1421-1998,1
0,낙원스낵,2,"['피자', '피맥']",서울특별시 광진구 화양동 46-48,0507-1410-1540,1
0,모던통닭 건대역점,2,['치킨'],서울특별시 광진구 화양동 7-39,02-464-0224,1
0,꼴목,2,"['술집', '삼계탕']",서울특별시 광진구 화양동 46-66 1충,02-485-0885,1
0,로니로티,2,"['파스타', '양식']",서울특별시 광진구 화양동 7-44,02-498-7999,1
0,Duff Town,2,"['칵테일', '티룸']",서울특별시 광진구 화양동 47-55 지하,010-9884-4344,1
0,건대맥주창고,2,"['맥주', '술집']",서울특별시 광진구 화양동 7-33,02-468-5199,1
0,Mix Lounge Bar,2,"['칵테일', '칵테일바']",서울특별시 광진구 화양동 8-8,02-498-8259,1
0,사시미,2,"['횟집', '사시미']",서울특별시 광진구 화양동 8-92,0507-1419-3224,1
0,디노노가리술집,2,"['맥주', '먹태']",서울 광진구 화양동 46-65,02-461-9289,1
0,한사바리,2,"['육회', '연어']",서울특별시 광진구 화양동 16-86,010-2113-3977,1
0,해남닭집,2,['치킨'],서울특별시 광진구 화양동 12-40,02-466-4656,1
0,바인,2,"['칵테일', '와인바']",서울특별시 광진구 화양동 9-25 지하1층,0507-1439-0285,1
0,사거리식당,2,"['곱도리탕', '포차']",서울특별시 광진구 화양동 8-1,0507-1468-3408,1
0,코젤다크하우스 건대점,2,"['맥주', '코젤다크시나몬']",서울특별시 광진구 화양동 46-55,02-464-0910,1
0,윤이불닭발,2,"['닭발', '포장마차']",서울특별시 광진구 화양동 5-29 지하1층,0507-1471-0924,1
0,C156,2,"['레스토랑', '파스타']",서울특별시 광진구 화양동 24-15,0507-1311-0060,1
0,카페 26,2,"['커피', '루프탑라운지']",서울특별시 광진구 화양동 110-40,0507-1397-3070,1
0,바른치킨 건대역 로봇점,2,"['치킨', '치맥']",서울특별시 광진구 화양동 48-25,0507-1471-6011,1
0,교촌치킨 건대점,2,"['치킨', '웨지감자']",서울특별시 광진구 화양동 9-18,02-462-1991,1
0,호맥 건대점,2,"['호떡', '맥주']",서울특별시 광진구 화양동 33-43,0507-1318-7341,1
0,대구 안지랑곱창막창 건대점,2,"['막창', '곱창']",서울특별시 광진구 화양동 9-66,0504-458-4128,1
0,스미레,2,"['이자카야', '오마카세']",서울특별시 광진구 화양동 9-37,0507-1335-2086,1
0,다원식당,2,['와인바'],서울특별시 광진구 화양동 8-50,,1
0,권셰프입니다,2,"['요리주점', '포차']",서울특별시 광진구 화양동 11-9,0507-1386-9731,1
0,우마이도 건대점,2,"['라멘', '돈코츠라멘']",서울특별시 광진구 화양동 3-29,02-467-8788,1
0,중독족발,2,"['족발', '막국수']",서울특별시 광진구 화양동 34-11,02-496-2878,1
0,온달집 건대점,2,"['닭발', '닭다리살']",서울특별시 광진구 화양동 5-25,0507-1389-1298,1
0,건대스시,2,['스시'],서울시 광진구 화양동 11-2 2층,0507-1367-8237,1
