restaurant_id,address,name,opening_hours,phone,type,category,lat,lng,review_count,created_at,updated_at,summary
17,서울 광진구 아차산로 621,광나루순대,"['화 10:00 - 24:00', '수 10:00 - 24:00', '목 10:00 - 24:00', '금 10:00 - 24:00', '토 10:00 - 23:00', '일 10:00 - 23:00', '월 10:00 - 24:00', '생생정보통 761회, 13.12.02. 2013년 12월 2일  순대']",02-458-9878,0,"순대,순댓국",,,,,,
18,서울 광진구 천호대로 813 신성빌딩,신선설농탕 광나루역점,"['매일 07:00 - 22:00', '굿모닝대한민국 160회, 12.01.05. 2012년 1월 5일  설렁탕']",02-446-9944,0,"곰탕,설렁탕",,,,,,
19,서울 광진구 광나루로 595 상가동 1층 그레베르 (버스정류장 앞),그레베르,"['화 10:00 - 23:00 15:00 - 17:00 브레이크타임 22:00 라스트오더', '수 10:00 - 23:00 15:00 - 17:00 브레이크타임 22:00 라스트오더', '목 10:00 - 23:00 15:00 - 17:00 브레이크타임 22:00 라스트오더', '금 10:00 - 23:00 15:00 - 17:00 브레이크타임 22:00 라스트오더', '토 10:00 - 23:00 15:00 - 17:00 브레이크타임 22:00 라스트오더', '일 정기휴무 (매주 일요일)', '월 10:00 - 23:00 15:00 - 17:00 브레이크타임 22:00 라스트오더']",0507-1478-1259,0,양식,,,,,,
20,서울 광진구 아차산로73길 48 2층 201호,산울,"['화 11:00 - 21:00 15:00 - 17:00 브레이크타임 20:20 라스트오더', '수 11:00 - 21:00 15:00 - 17:00 브레이크타임 20:20 라스트오더', '목 11:00 - 21:00 15:00 - 17:00 브레이크타임 20:20 라스트오더', '금 11:00 - 21:00 15:00 - 17:00 브레이크타임 20:20 라스트오더', '토 11:00 - 21:00 15:00 - 17:00 브레이크타임 20:20 라스트오더', '일 정기휴무 (매주 일요일)', '월 11:00 - 21:00 15:00 - 17:00 브레이크타임 20:20 라스트오더']",0507-1430-2278,0,한식,,,,,,
21,서울 광진구 천호대로143길 34 1층,새미,"['화 11:00 - 21:30 20:40 라스트오더', '수 11:00 - 21:30 20:40 라스트오더', '목 11:00 - 21:30 20:40 라스트오더', '금 11:00 - 21:30 20:40 라스트오더', '토 11:00 - 21:30 20:40 라스트오더', '일 11:00 - 21:30 20:40 라스트오더', '월 11:00 - 21:30 20:40 라스트오더']",0507-1460-8812,0,이탈리아음식,,,,,,
22,서울 광진구 구천면로 13,버터버거,"['화 11:00 - 20:30 20:00 라스트오더', '수 11:00 - 20:30 20:00 라스트오더', '목 11:00 - 20:30 20:00 라스트오더', '금 11:00 - 20:30 20:00 라스트오더', '토 11:00 - 20:30 20:00 라스트오더', '일 11:00 - 20:30 20:00 라스트오더', '월 정기휴무 (매주 월요일)']",010-3629-2111,0,햄버거,,,,,,
23,서울 광진구 아차산로 612 서연보습학원,스시토푸,"['화 11:30 - 22:00 15:00 - 17:00 브레이크타임', '수 11:30 - 22:00 15:00 - 17:00 브레이크타임', '목 11:30 - 22:00 15:00 - 17:00 브레이크타임', '금 11:30 - 22:00 15:00 - 17:00 브레이크타임', '토 11:30 - 22:00 16:00 - 17:00 브레이크타임 18:00 - 19:00 브레이크타임 20:00 - 21:00 브레이크타임', '일 11:30 - 22:00 16:00 - 17:00 브레이크타임 18:00 - 19:00 브레이크타임 20:00 - 21:00 브레이크타임', '월 정기휴무 (매주 월요일)']",070-7624-9671,0,일식당,,,,,,
24,서울 광진구 아차산로76가길 13 1층 할매복집,할매복집,"['화 11:00 - 21:00 15:00 - 17:00 브레이크타임 20:00 라스트오더', '수 11:00 - 21:00 15:00 - 17:00 브레이크타임 20:00 라스트오더', '목 11:00 - 21:00 15:00 - 17:00 브레이크타임 20:00 라스트오더', '금 11:00 - 21:00 15:00 - 17:00 브레이크타임 20:00 라스트오더', '토 11:00 - 21:00 15:00 - 17:00 브레이크타임 20:00 라스트오더', '일 11:00 - 21:00 15:00 - 17:00 브레이크타임 20:00 라스트오더', '월 11:00 - 21:00 15:00 - 17:00 브레이크타임 20:00 라스트오더', '2TV생생정보 1668회, 22.10.31. 2022년 10월 31일  복불고기', '']",02-456-0558,0,복어요리,,,,,,
25,서울 광진구 천호대로 808 102,스시텐 광나루,"['화 11:30 - 21:30 15:00 - 17:00 브레이크타임 21:00 라스트오더', '수 11:30 - 21:30 15:00 - 17:00 브레이크타임 21:00 라스트오더', '목 11:30 - 21:30 15:00 - 17:00 브레이크타임 21:00 라스트오더', '금 11:30 - 21:30 15:00 - 17:00 브레이크타임 21:00 라스트오더', '토 11:30 - 21:30 15:00 - 17:00 브레이크타임 21:00 라스트오더', '일 11:30 - 21:30 15:00 - 17:00 브레이크타임 21:00 라스트오더', '월 11:30 - 21:30 15:00 - 17:00 브레이크타임 21:00 라스트오더']",0507-1349-9248,0,"초밥,롤",,,,,,
26,서울 광진구 아차산로78길 75,콩예원,['매일 11:00 - 21:00'],02-444-3331,0,한식,,,,,,
27,서울 광진구 아차산로69길 20 1층 은행나무집,은행나무집,"['화 11:00 - 21:30 15:00 - 16:30 브레이크타임', '수 11:00 - 21:30 15:00 - 16:30 브레이크타임', '목 11:00 - 21:30 15:00 - 16:30 브레이크타임', '금 11:00 - 21:30 15:00 - 16:30 브레이크타임', '토 11:00 - 21:30', '일 11:00 - 21:30', '월 정기휴무 (매주 월요일)']",0507-1420-7102,0,한식,,,,,,
28,서울 광진구 아차산로76길 11,장순루,"['화 11:00 - 21:30 14:30 - 16:30 브레이크타임', '수 11:00 - 21:30 14:30 - 16:30 브레이크타임', '목 11:00 - 21:30 14:30 - 16:30 브레이크타임', '금 11:00 - 21:30 14:30 - 16:30 브레이크타임', '토 11:00 - 21:30', '일 11:00 - 21:30', '월 11:00 - 21:30 14:30 - 16:30 브레이크타임']",02-447-8888,0,중식당,,,,,,
29,서울 광진구 천호대로143길 27 1층,가츠시 광나루점,"['화 11:00 - 20:30 15:30 - 17:00 브레이크타임 19:55 라스트오더', '수 11:00 - 20:30 15:30 - 17:00 브레이크타임 19:55 라스트오더', '목 11:00 - 20:30 15:30 - 17:00 브레이크타임 19:55 라스트오더', '금 11:00 - 20:30 15:30 - 17:00 브레이크타임 19:55 라스트오더', '토 정기휴무 (매주 토요일)', '일 11:00 - 20:30 15:30 - 17:00 브레이크타임 19:55 라스트오더', '월 11:00 - 20:30 15:30 - 17:00 브레이크타임 19:55 라스트오더']",02-457-6777,0,일식당,,,,,,
30,서울 광진구 아차산로 563 대한제지사옥,채선당 월남쌈&샤브샤브 광나루광장점,"['화 11:00 - 21:00 20:00 라스트오더', '수 11:00 - 21:00 20:00 라스트오더', '목 11:00 - 21:00 20:00 라스트오더', '금 11:00 - 21:00 20:00 라스트오더', '토 11:00 - 21:00 20:00 라스트오더', '일 11:00 - 21:00 20:00 라스트오더', '월 11:00 - 21:00 20:00 라스트오더']",0507-1478-7892,0,샤브샤브,,,,,,
31,서울 광진구 천호대로 799 1층,담소소사골순대육개장 광나루점,"['화 10:00 - 22:00 21:20 라스트오더', '수 10:00 - 22:00 21:20 라스트오더', '목 10:00 - 22:00 21:20 라스트오더', '금 10:00 - 22:00 21:20 라스트오더', '토 10:00 - 22:00 21:20 라스트오더', '일 10:00 - 22:00 21:20 라스트오더', '월 10:00 - 22:00 21:20 라스트오더']",02-455-1821,0,"순대,순댓국",,,,,,
32,서울 광진구 아차산로78길 166 1층,램스야,"['화 17:00 - 22:00 21:30 라스트오더', '수 17:00 - 22:00 21:30 라스트오더', '목 17:00 - 22:00 21:30 라스트오더', '금 17:00 - 22:00 21:30 라스트오더', '토 17:00 - 21:00 20:30 라스트오더', '일 17:00 - 21:00 20:30 라스트오더', '월 17:00 - 22:00 21:30 라스트오더', '매달 1, 3번째 월요일 정기 휴무']",02-456-0213,0,"육류,고기요리",,,,,,
33,서울 광진구 광나루로 621,명가순대국,"['화 00:00 - 24:00', '수 00:00 - 24:00', '목 00:00 - 24:00', '금 00:00 - 24:00', '토 00:00 - 24:00', '일 00:00 - 24:00', '월 00:00 - 24:00']",02-457-1613,0,"순대,순댓국",,,,,,
34,서울 광진구 광장로1길 20,다야,"['화 11:00 - 20:20 15:30 - 16:30 브레이크타임', '수 11:00 - 20:20 15:30 - 16:30 브레이크타임', '목 11:00 - 20:20 15:30 - 16:30 브레이크타임', '금 11:00 - 20:20 15:30 - 16:30 브레이크타임', '토 11:00 - 20:20 15:30 - 16:30 브레이크타임', '일 11:00 - 20:20 15:30 - 16:30 브레이크타임', '월 11:00 - 20:20 15:30 - 16:30 브레이크타임']",02-453-7833,0,국수,,,,,,
35,서울 광진구 아차산로73길 34 1층,논현닭한마리 워커힐광나루점,"['화 10:30 - 22:00 15:00 - 16:30 브레이크타임 21:00 라스트오더', '수 10:30 - 22:00 15:00 - 16:30 브레이크타임 21:00 라스트오더', '목 10:30 - 22:00 15:00 - 16:30 브레이크타임 21:00 라스트오더', '금 10:30 - 22:00 15:00 - 16:30 브레이크타임 21:00 라스트오더', '토 10:30 - 22:00 21:00 라스트오더', '일 10:30 - 22:00 21:00 라스트오더', '월 정기휴무 (매주 월요일)']",0507-1374-0502,0,닭요리,,,,,,
36,"서울 광진구 아차산로 537-17 상가동 1층 17호(광장동,광장힐스테이트)",정성한줄 광장점,['매일 09:00 - 21:00'],02-3437-8253,0,분식,,,,,,
37,서울 광진구 아차산로78길 176 1층,고순당,"['화 11:00 - 20:30 15:00 - 17:00 브레이크타임 20:00 라스트오더', '수 11:00 - 20:30 15:00 - 17:00 브레이크타임 20:00 라스트오더', '목 11:00 - 20:30 15:00 - 17:00 브레이크타임 20:00 라스트오더', '금 11:00 - 20:30 15:00 - 17:00 브레이크타임 20:00 라스트오더', '토 11:00 - 20:30 15:00 - 17:00 브레이크타임 20:00 라스트오더', '일 정기휴무 (매주 일요일)', '월 11:00 - 20:30 15:00 - 17:00 브레이크타임 20:00 라스트오더']",02-6053-0485,0,"우동,소바",,,,,,
38,서울 광진구 아차산로76길 5 1층,팔월잔칫날,"['화 17:00 - 22:30 21:30 라스트오더', '수 17:00 - 22:30 21:30 라스트오더', '목 17:00 - 22:30 21:30 라스트오더', '금 17:00 - 22:30 21:30 라스트오더', '토 17:00 - 22:30 21:30 라스트오더', '일 17:00 - 22:30 21:30 라스트오더', '월 17:00 - 22:30 21:30 라스트오더']",010-5083-8798,0,돼지고기구이,,,,,,
39,서울 광진구 광장로 61 금강빌딩 1층상가 104호,나무이야기,"['화 11:00 - 21:00 20:00 라스트오더', '수 11:00 - 21:00 20:00 라스트오더', '목 11:00 - 21:00 20:00 라스트오더', '금 11:00 - 21:00 20:00 라스트오더', '토 11:00 - 19:00 18:00 라스트오더', '일 정기휴무 (매주 일요일)', '월 11:00 - 21:00 20:00 라스트오더', '04/10 22대 국회의원선거 휴무']",02-454-4082,0,한식,,,,,,
40,서울 광진구 아차산로 610 삼경,지호한방삼계탕 광장점,"['화 10:30 - 22:00', '수 10:30 - 22:00', '목 10:30 - 22:00', '금 10:30 - 22:00', '토 10:30 - 22:00', '일 10:30 - 22:00', '월 10:30 - 22:00']",02-452-3990,0,"백숙,삼계탕",,,,,,
41,서울 광진구 아차산로73길 33 대근빌딩,콩마당,"['화 11:00 - 21:30 15:30 - 16:30 브레이크타임', '수 11:00 - 21:30 15:30 - 16:30 브레이크타임', '목 11:00 - 21:30 15:30 - 16:30 브레이크타임', '금 11:00 - 21:30 15:30 - 16:30 브레이크타임', '토 11:00 - 21:30 15:30 - 16:30 브레이크타임', '일 11:00 - 21:30 15:30 - 16:30 브레이크타임', '월 정기휴무 (매주 월요일)']",02-2201-3965,0,두부요리,,,,,,
42,서울 광진구 광장로1길 26,다래나무 손두부,"['화 09:00 - 15:00 14:30 라스트오더', '수 09:00 - 21:00 20:30 라스트오더', '목 09:00 - 21:00 20:30 라스트오더', '금 09:00 - 21:00 20:30 라스트오더', '토 09:00 - 21:00 20:30 라스트오더', '일 09:00 - 21:00 20:30 라스트오더', '월 09:00 - 21:00 20:30 라스트오더']",02-452-6717,0,한식,,,,,,
43,서울 광진구 아차산로 502 진넥스 오딧세이,단오방뚝배기떡볶이,"['화 10:30 - 21:00', '수 10:30 - 21:00', '목 10:30 - 21:00', '금 10:30 - 21:00', '토 10:30 - 21:00', '일 정기휴무 (매주 일요일)', '월 10:30 - 21:00']",02-454-9995,0,종합분식,,,,,,
44,서울 광진구 광나루로 595 광장자이아파트,다원보쌈칼국수,['매일 10:30 - 22:00'],02-455-7296,0,"칼국수,만두",,,,,,
45,서울 광진구 아차산로 563,킹콩부대찌개 광나루역점,"['화 11:00 - 20:30 15:30 - 17:00 브레이크타임 20:00 라스트오더', '수 11:00 - 20:30 15:30 - 17:00 브레이크타임 20:00 라스트오더', '목 11:00 - 20:30 15:30 - 17:00 브레이크타임 20:00 라스트오더', '금 11:00 - 20:30 15:30 - 17:00 브레이크타임 20:00 라스트오더', '토 정기휴무 (매주 토요일)', '일 11:00 - 20:30 15:30 - 16:30 브레이크타임 20:00 라스트오더', '월 11:00 - 20:30 15:30 - 17:00 브레이크타임 20:00 라스트오더']",0507-1402-0290,0,"찌개,전골",,,,,,
46,서울 광진구 아차산로 537-17 광장힐스테이트 상가 8호,고봉민김밥인 서울광장점,"['화 정기휴무 (매주 화요일)', '수 09:00 - 21:00', '목 09:00 - 21:00', '금 09:00 - 21:00', '토 09:00 - 21:00', '일 09:00 - 21:00', '월 09:00 - 21:00']",02-447-8820,0,분식,,,,,,
47,서울 광진구 아차산로 612 2층 201호,광장수제갈비,"['화 11:30 - 22:00 14:30 - 16:30 브레이크타임', '수 11:30 - 22:00 14:30 - 16:30 브레이크타임', '목 11:30 - 22:00 14:30 - 16:30 브레이크타임', '금 11:30 - 22:00 14:30 - 16:30 브레이크타임', '토 11:30 - 22:00', '일 11:30 - 22:00', '월 11:30 - 22:00 14:30 - 16:30 브레이크타임']",0507-1492-6123,0,"육류,고기요리",,,,,,
48,서울 광진구 아차산로78길 162 제원빌딩,광나루한우정육식당,['매일 11:00 - 22:00'],02-6012-7772,0,정육식당,,,,,,
49,서울 광진구 아차산로 591 지하1층,토닥토닥치킨,['매일 15:00 - 23:55 22:55 라스트오더'],0507-1339-5290,0,"치킨,닭강정",,,,,,
50,서울 광진구 광나루로 607,교촌치킨 광장점,"['화 12:00 - 24:00', '수 12:00 - 24:00', '목 12:00 - 24:00', '금 12:00 - 24:00', '토 12:00 - 24:00', '일 12:00 - 24:00', '월 12:00 - 24:00']",02-453-9292,0,"치킨,닭강정",,,,,,
51,서울 광진구 아차산로73길 8,신전떡볶이 광장점,['매일 11:00 - 22:00'],02-458-6680,0,분식,,,,,,
52,서울 광진구 아차산로78길 170 한강빌딩,황가네맷돌빈대떡,"['화 11:30 - 23:00 22:30 라스트오더', '수 11:30 - 23:00 22:30 라스트오더', '목 11:30 - 23:00 22:30 라스트오더', '금 11:30 - 23:00 22:30 라스트오더', '토 11:30 - 23:00 22:30 라스트오더', '일 정기휴무 (매주 일요일)', '월 11:30 - 23:00 22:30 라스트오더']",02-455-6877,0,"전,빈대떡",,,,,,
53,서울 광진구 아차산로76길 6 1층,오늘도낙지,"['화 11:00 - 20:00 14:00 - 17:00 브레이크타임 19:30 라스트오더', '수 11:00 - 20:00 14:00 - 17:00 브레이크타임 19:30 라스트오더', '목 11:00 - 20:00 14:00 - 17:00 브레이크타임 19:30 라스트오더', '금 11:00 - 20:00 14:00 - 17:00 브레이크타임 19:30 라스트오더', '토 11:00 - 20:00 14:00 - 17:00 브레이크타임 19:30 라스트오더', '일 정기휴무 (매주 일요일)', '월 11:00 - 20:00 14:00 - 17:00 브레이크타임 19:30 라스트오더']",0507-1419-8802,0,한식,,,,,,
54,서울 광진구 아차산로76길 19 3층,코마찌,"['화 11:30 - 23:00 14:30 - 16:00 브레이크타임', '수 11:30 - 23:00 14:30 - 16:00 브레이크타임', '목 11:30 - 23:00 14:30 - 16:00 브레이크타임', '금 11:30 - 23:00 14:30 - 16:00 브레이크타임', '토 11:30 - 23:00 14:30 - 16:00 브레이크타임', '일 11:30 - 23:00 14:30 - 16:00 브레이크타임', '월 11:30 - 23:00 14:30 - 16:00 브레이크타임']",02-452-2336,0,일식당,,,,,,
55,서울 광진구 광장로 45 1층 102호,33떡볶이 광장점,"['화 07:30 - 21:00', '수 07:30 - 21:00', '목 07:30 - 21:00', '금 07:30 - 21:00', '토 07:30 - 21:00', '일 정기휴무 (매주 일요일)', '월 07:30 - 21:00']",02-444-1033,0,33떡볶이,,,,,,
56,서울 광진구 아차산로76가길 4 중일가든,중일가든,[],02-454-3770,0,돼지고기구이,,,,,,
57,서울 광진구 아차산로69길 8 102호,커스텀샐러드 광장점,"['화 10:30 - 21:00 20:30 라스트오더', '수 10:30 - 21:00 20:30 라스트오더', '목 10:30 - 21:00 20:30 라스트오더', '금 10:30 - 21:00 20:30 라스트오더', '토 정기휴무 (매주 토요일)', '일 10:30 - 21:00 20:30 라스트오더', '월 10:30 - 21:00 20:30 라스트오더']",02-6954-0400,0,"다이어트,샐러드",,,,,,
58,서울 광진구 천호대로 808,본죽&비빔밥cafe 광장동점,['매일 09:30 - 21:30'],02-455-2933,0,죽,,,,,,
59,서울 광진구 아차산로78길 170,제주애육당 광장점,"['화 16:00 - 24:00 23:00 라스트오더', '수 16:00 - 24:00 23:00 라스트오더', '목 16:00 - 24:00 23:00 라스트오더', '금 16:00 - 24:00 23:00 라스트오더', '토 16:00 - 24:00 23:00 라스트오더', '일 16:00 - 24:00 23:00 라스트오더', '월 정기휴무 (매주 월요일)']",0507-1400-7687,0,돼지고기구이,,,,,,
60,서울 광진구 아차산로 589,삼통치킨 광나루역점,"['화 15:30 - 23:30', '수 15:30 - 23:30', '목 15:30 - 23:30', '금 15:30 - 23:30', '토 15:30 - 23:30', '일 15:30 - 23:30', '월 15:30 - 23:30']",02-457-9933,0,"치킨,닭강정",,,,,,
62,서울 광진구 아차산로78길 165,오리가미,"['화 16:00 - 22:30 21:30 라스트오더', '수 16:00 - 22:30 21:30 라스트오더', '목 16:00 - 22:30 21:30 라스트오더', '금 16:00 - 22:30 21:30 라스트오더', '토 11:00 - 22:00 21:00 라스트오더', '일 11:00 - 22:00 21:00 라스트오더', '월(4/8) 정기휴무 (매달 2, 4번째 월요일)', '매달 2, 4번째 월요일 정기 휴무']",02-447-1456,0,오리요리,,,,,,
63,서울 광진구 아차산로 537-17 광장힐스테이트 상가 5호,두레통닭 광장점,['매일 11:00 - 23:00 22:30 라스트오더'],02-456-3251,0,"치킨,닭강정",,,,,,
64,서울 광진구 광나루로 635,푸라닭 광장점,"['화 11:00 - 24:00 23:55 라스트오더', '수 11:00 - 24:00 23:55 라스트오더', '목 11:00 - 24:00 23:55 라스트오더', '금 11:00 - 24:00 23:55 라스트오더', '토 11:00 - 24:00 23:55 라스트오더', '일 11:00 - 24:00 23:55 라스트오더', '월 11:00 - 24:00 23:55 라스트오더']",02-2201-9206,0,"치킨,닭강정",,,,,,
65,서울 광진구 아차산로 502,맘스터치 광장동점,['매일 10:30 - 21:30 21:00 라스트오더'],02-458-0003,0,햄버거,,,,,,
66,서울 광진구 천호대로143길 8-8 1층,맛좋은집,"['화 10:00 - 22:00 15:30 - 16:30 브레이크타임', '수 10:00 - 22:00 15:30 - 16:30 브레이크타임', '목 10:00 - 22:00 15:30 - 16:30 브레이크타임', '금 10:00 - 22:00 15:30 - 16:30 브레이크타임', '토 10:00 - 22:00 15:30 - 16:30 브레이크타임', '일 10:00 - 22:00 15:30 - 16:30 브레이크타임', '월 10:00 - 22:00 15:30 - 16:30 브레이크타임', '매달 2, 4번째 일요일 정기 휴무']",0507-1405-3668,0,한식,,,,,,
67,서울 광진구 광장로 47,이삭토스트 광나루점,"['화 10:30 - 19:00 18:30 라스트오더', '수 10:30 - 19:00 18:30 라스트오더', '목 10:30 - 19:00 18:30 라스트오더', '금 10:30 - 19:00 18:30 라스트오더', '토 10:30 - 18:00 17:30 라스트오더', '일 정기휴무 (매주 일요일)', '월 10:30 - 19:00 18:30 라스트오더']",02-453-6999,0,토스트,,,,,,
68,서울 광진구 광장로3길 2,광장보쌈 본점,['매일 11:00 - 22:00'],02-3437-8519,0,"족발,보쌈",,,,,,
69,서울 광진구 광장로 65-1 1층,포아이니 광장점,"['화 11:30 - 21:00 20:30 라스트오더', '수 11:30 - 21:00 20:30 라스트오더', '목 11:30 - 21:00 20:30 라스트오더', '금 11:30 - 21:00 20:30 라스트오더', '토 11:30 - 21:00 20:30 라스트오더', '일 11:30 - 21:00 20:30 라스트오더', '월 11:30 - 21:00 20:30 라스트오더', '매달 2, 4번째 토요일 정기 휴무']",0507-1387-2656,0,베트남음식,,,,,,
70,서울 광진구 천호대로141길 10-11,청사초롱,"['화 12:00 - 23:30', '수 12:00 - 23:30', '목 12:00 - 23:30', '금 12:00 - 23:30', '토 12:00 - 23:30', '일 12:00 - 23:30', '월 정기휴무 (매주 월요일)']",02-455-1229,0,한식,,,,,,
71,서울 광진구 아차산로73길 28 대광빌딩,광오지마을,['매일 11:00 - 22:00'],02-452-7944,0,"육류,고기요리",,,,,,
72,서울 광진구 광장로 64-1,황룡 중화요리,"['화 10:30 - 20:30', '수 10:30 - 20:30', '목 10:30 - 20:30', '금 10:30 - 20:30', '토 10:30 - 20:30', '일 정기휴무 (매주 일요일)', '월 10:30 - 20:30']",02-454-0888,0,중식당,,,,,,
